year,month,site,station,mean_maxF,mean_minF
2016,January,Arid,Lebec,NA,NA
2016,February,Arid,Lebec,NA,NA
2016,March,Arid,Lebec,NA,NA
2016,April,Arid,Lebec,66.3,43.1
2016,May,Arid,Lebec,68.9,48.3
2016,June,Arid,Lebec,83.9,60.2
2016,July,Arid,Lebec,88.8,61.1
2016,August,Arid,Lebec,87.9,60.3
2016,September,Arid,Lebec,80.4,52.6
2016,October,Arid,Lebec,72,48.6
2016,November,Arid,Lebec,64.2,41.8
2016,December,Arid,Lebec,52.1,36.4
2017,January,Arid,Lebec,48.3,33.6
2017,February,Arid,Lebec,55.8,38.6
2017,March,Arid,Lebec,NA,NA
2017,April,Arid,Lebec,64.6,41.1
2017,May,Arid,Lebec,68.9,48.3
2017,June,Arid,Lebec,83.9,60.2
2017,July,Arid,Lebec,NA,NA
2017,August,Arid,Lebec,89.2,61.7
2017,September,Arid,Lebec,79.5,53.6
2017,October,Arid,Lebec,76.5,45.9
2017,November,Arid,Lebec,69.9,40.3
2017,December,Arid,Lebec,60.3,36.2
2018,January,Arid,Lebec,58.3,38.7
2018,February,Arid,Lebec,60.9,35.1
2018,March,Arid,Lebec,54.6,37.6
2018,April,Arid,Lebec,67.5,43.2
2018,May,Arid,Lebec,68.9,48.3
2018,June,Arid,Lebec,83.9,60.2
2018,July,Arid,Lebec,NA,NA
2018,August,Arid,Lebec,88.8,61.6
2018,September,Arid,Lebec,NA,NA
2018,October,Arid,Lebec,NA,NA
2018,November,Arid,Lebec,NA,NA
2018,December,Arid,Lebec,51.7,35.6
2019,January,Arid,Lebec,NA,NA
2019,February,Arid,Lebec,46.7,30.3
2019,March,Arid,Lebec,56.3,37.3
2019,April,Arid,Lebec,NA,NA
2019,May,Arid,Lebec,68.9,48.3
2019,June,Arid,Lebec,83.9,60.2
2019,July,Arid,Lebec,85.9,59.4
2019,August,Arid,Lebec,NA,NA
2019,September,Arid,Lebec,NA,NA
2019,October,Arid,Lebec,NA,NA
2019,November,Arid,Lebec,NA,NA
2019,December,Arid,Lebec,NA,NA
2016,January,Intermediate,Loraine,51.3,33.1
2016,February,Intermediate,Loraine,61.9,35.7
2016,March,Intermediate,Loraine,59.4,36.2
2016,April,Intermediate,Loraine,64.9,39.6
2016,May,Intermediate,Loraine,70.1,43.3
2016,June,Intermediate,Loraine,86.6,53.6
2016,July,Intermediate,Loraine,89.5,57.5
2016,August,Intermediate,Loraine,90.5,56.4
2016,September,Intermediate,Loraine,81.8,50.5
2016,October,Intermediate,Loraine,71.6,45
2016,November,Intermediate,Loraine,64.4,40.2
2016,December,Intermediate,Loraine,52.4,32.1
2017,January,Intermediate,Loraine,48.6,30.7
2017,February,Intermediate,Loraine,55.1,36.9
2017,March,Intermediate,Loraine,63.8,36.5
2017,April,Intermediate,Loraine,64.5,38.3
2017,May,Intermediate,Loraine,75.4,45.1
2017,June,Intermediate,Loraine,85.2,53.1
2017,July,Intermediate,Loraine,93.6,60.8
2017,August,Intermediate,Loraine,91.4,60.6
2017,September,Intermediate,Loraine,82.2,53.4
2017,October,Intermediate,Loraine,75.7,44.7
2017,November,Intermediate,Loraine,NA,NA
2017,December,Intermediate,Loraine,62.3,36.2
2018,January,Intermediate,Loraine,59.2,37.5
2018,February,Intermediate,Loraine,59.7,30.8
2018,March,Intermediate,Loraine,55.7,35.7
2018,April,Intermediate,Loraine,67.9,38.9
2018,May,Intermediate,Loraine,71.4,44.2
2018,June,Intermediate,Loraine,84,52.2
2018,July,Intermediate,Loraine,93.2,62.3
2018,August,Intermediate,Loraine,90.8,57.8
2018,September,Intermediate,Loraine,86.8,51.1
2018,October,Intermediate,Loraine,NA,NA
2018,November,Intermediate,Loraine,NA,NA
2018,December,Intermediate,Loraine,52,32.4
2019,January,Intermediate,Loraine,54.6,34.4
2019,February,Intermediate,Loraine,45.4,26.6
2019,March,Intermediate,Loraine,55.7,33.6
2019,April,Intermediate,Loraine,68.5,41.8
2019,May,Intermediate,Loraine,64,40.8
2019,June,Intermediate,Loraine,82.4,52.7
2019,July,Intermediate,Loraine,86.9,56
2019,August,Intermediate,Loraine,89.6,56.9
2019,September,Intermediate,Loraine,81.7,50.3
2019,October,Intermediate,Loraine,69.9,39.4
2019,November,Intermediate,Loraine,65.1,38.6
2019,December,Intermediate,Loraine,50,33.3
2016,January,Mesic,Chuchupate,49.5,26.1
2016,February,Mesic,Chuchupate,60.3,26.9
2016,March,Mesic,Chuchupate,59.2,27.9
2016,April,Mesic,Chuchupate,62.6,32.4
2016,May,Mesic,Chuchupate,67.9,37.5
2016,June,Mesic,Chuchupate,85.3,46.2
2016,July,Mesic,Chuchupate,89.1,45.5
2016,August,Mesic,Chuchupate,87.5,43.3
2016,September,Mesic,Chuchupate,78.6,38.1
2016,October,Mesic,Chuchupate,69.3,34.2
2016,November,Mesic,Chuchupate,60.3,28.2
2016,December,Mesic,Chuchupate,50.4,25.3
2017,January,Mesic,Chuchupate,47.6,24.6
2017,February,Mesic,Chuchupate,52,30.2
2017,March,Mesic,Chuchupate,61.9,28.3
2017,April,Mesic,Chuchupate,64,31.8
2017,May,Mesic,Chuchupate,72.1,35.7
2017,June,Mesic,Chuchupate,83.7,43
2017,July,Mesic,Chuchupate,89.5,49.4
2017,August,Mesic,Chuchupate,86.3,47.2
2017,September,Mesic,Chuchupate,76.2,39.6
2017,October,Mesic,Chuchupate,72.9,32
2017,November,Mesic,Chuchupate,63.2,28.7
2017,December,Mesic,Chuchupate,59.8,23.2
2018,January,Mesic,Chuchupate,56.7,28.6
2018,February,Mesic,Chuchupate,54.2,20.2
2018,March,Mesic,Chuchupate,54,27.7
2018,April,Mesic,Chuchupate,65.5,32.4
2018,May,Mesic,Chuchupate,70.7,36.1
2018,June,Mesic,Chuchupate,83.6,42
2018,July,Mesic,Chuchupate,91.1,52.9
2018,August,Mesic,Chuchupate,88.2,46.5
2018,September,Mesic,Chuchupate,83.3,39.4
2018,October,Mesic,Chuchupate,68.7,33.5
2018,November,Mesic,Chuchupate,59.7,28.3
2018,December,Mesic,Chuchupate,50.9,25.7
2019,January,Mesic,Chuchupate,51.1,26.2
2019,February,Mesic,Chuchupate,44.1,21.1
2019,March,Mesic,Chuchupate,53.9,26.9
2019,April,Mesic,Chuchupate,65.2,32.4
2019,May,Mesic,Chuchupate,63,35.1
2019,June,Mesic,Chuchupate,80.5,42.9
2019,July,Mesic,Chuchupate,86,44
2019,August,Mesic,Chuchupate,88.4,43
2019,September,Mesic,Chuchupate,79.1,38.8
2019,October,Mesic,Chuchupate,68.7,28.1
2019,November,Mesic,Chuchupate,60.6,25.6
2019,December,Mesic,Chuchupate,47.1,26.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,