tag,month,date,site,block,plot,night,condition,species,age,sex,repro,weightbag,length,tail,ticks,blood
751,May,2019-04-30,Arid,2,NA,1,Released,CHCA,Adult,M,NA,24.5,80.8,46,N,N
752,May,2019-04-30,Arid,2,NA,1,Released,PEMA,Adult,M,NA,16,80.5,58.9,N,N
NA,May,2019-05-01,Arid,2,NA,2,Closed,NA,NA,NA,NA,,,,,
750,May,2019-05-01,Arid,2,NA,2,Released,PEBO,Adult,M,NA,26.5,91.6,78.5,N,N
No_tag,May,2019-05-01,Arid,2,NA,2,Released,PEBO,Adult,F,NA,26,90.4,88.8,N,N
755,May,2019-05-01,Arid,2,NA,2,Released,PEBO,Adult,F,NA,25,91.4,85.9,N,N
NA,May,2019-05-01,Arid,2,NA,2,Closed,NA,NA,NA,NA,,,,,
NA,May,2019-05-01,Arid,2,NA,2,Released,PEBO,Adult,F,NA,25,91.4,85.9,N,N
NA,May,2019-05-01,Arid,2,Total,2,Open,NA,NA,NA,NA,,,,,
NA,May,2019-05-01,Arid,2,Total,2,Closed,NA,NA,NA,NA,,,,,
756,May,2019-05-01,Arid,2,Total,2,Released,MICA,Adult,M,NA,50+,102.2,45.1,N,N
NA,May,2019-05-01,Arid,2,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,May,2019-05-01,Arid,2,Open,2,Open,NA,NA,NA,NA,,,,,
NA,May,2019-05-01,Arid,2,Open,2,Open,NA,NA,NA,NA,,,,,
NA,May,2019-05-01,Arid,2,Open,2,Closed,NA,NA,NA,NA,,,,,
752,May,2019-05-01,Arid,2,Open,2,Recapture,PEMA,NA,NA,NA,,,,,
748,May,2019-05-02,Arid,2,Partial,3,Released,PEBO,Juvenile,F,NA,17,70.1,77.9,N,N
749,May,2019-05-02,Arid,2,Partial,3,Released,PEBO,Juvenile,F,NA,25,84.1,91.5,N,N
746,May,2019-05-02,Arid,2,Partial,3,Released,PEBO,Adult,M,NA,24.5,72.44,81.45,N,N
755,May,2019-05-02,Arid,2,Partial,3,Recapture,PEBO,NA,NA,NA,,,,,
747,May,2019-05-02,Arid,2,Total,3,Released,MICA,Adult,F,Lactating,50+,95.8,43.5,N,N
745,May,2019-05-02,Arid,2,Total,3,Released,MICA,Juvenile,M,NA,19.5,78.6,30.3,N,N
705,June,2019-06-11,Mesic,1,Open,1,Released,PECA,Adult,F,Pregnant,33,175,95,N,N
707,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Adult,NA,NA,24.5,165,80,N,N
706,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Adult,F,Reproductive,27,150,80,N,N
708,June,2019-06-11,Mesic,1,Total,1,Released,MICA,Adult,F,Reproductive,50+,125,40,N,N
709,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Adult,M,Reproductive,25,180,95,N,N
Sharpie,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Juvenile,NA,NA,14.5,120,65,N,N
710,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Adult,F,Pregnant,34.5,105,85,N,N
711,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Adult,M,Reproductive,NA,170,80,N,N
Sharpie,June,2019-06-11,Mesic,1,Total,1,Released,PECA,Juvenile,M,NA,20,170,75,N,N
712,June,2019-06-11,Mesic,1,Partial,1,Released,PECA,Adult,M,NA,21,165,90,N,N
713,June,2019-06-11,Mesic,1,Partial,1,Released,PECA,Juvenile,M,NA,NA,175,90,N,N
714,June,2019-06-11,Mesic,1,Partial,1,Released,NEMA,Adult,NA,NA,50+,NA,NA,N,N
715,June,2019-06-12,Mesic,1,Open,2,Released,PECA,Adult,M,NA,21,175,90,N,N
716,June,2019-06-12,Mesic,1,Open,2,Released,PECA,Adult,M,NA,20,170,80,N,N
Sharpie,June,2019-06-12,Mesic,1,Open,2,Released,PECA,Juvenile,M,NA,17.5,150,80,N,N
705,June,2019-06-12,Mesic,1,Total,2,Recapture,PECA,NA,NA,NA,,,,N,N
710,June,2019-06-12,Mesic,1,Total,2,Recapture,PECA,NA,NA,NA,,,,N,N
Sharpie,June,2019-06-12,Mesic,1,Total,2,Released,PECA,Juvenile,F,NA,NA,135,70,N,N
709,June,2019-06-12,Mesic,1,Total,2,Recapture,PECA,NA,NA,NA,,,,N,N
Sharpie,June,2019-06-12,Mesic,1,Total,2,Released,PECA,Juvenile,F,NA,17,160,85,N,N
711,June,2019-06-12,Mesic,1,Total,2,Recapture,PECA,NA,NA,NA,,,,N,N
717,June,2019-06-12,Mesic,1,Total,2,Released,PECA,Adult,M,NA,27.5,175,85,N,N
713,June,2019-06-12,Mesic,1,Partial,2,Recapture,PECA,NA,NA,NA,,,,N,N
718,June,2019-06-12,Mesic,1,Partial,2,Released,PECA,Adult,NA,NA,20.5,160,80,N,N
719,June,2019-06-12,Mesic,1,Partial,2,Released,PECA,Adult,M,Testicular,19.8,160,80,N,N
712,June,2019-06-12,Mesic,1,Partial,2,Recapture,PECA,NA,NA,NA,,,,N,N
720,June,2019-06-12,Mesic,1,Partial,2,Released,PECA,Adult,M,Testicular,34,185,105,N,N
721,June,2019-06-13,Mesic,1,Open,3,Released,PECA,Juvenile,F,NA,22.5,160,85,N,N
722,June,2019-06-13,Mesic,1,Open,3,Released,PECA,Adult,M,Testicular,23.5,175,85,N,N
705,June,2019-06-13,Mesic,1,Open,3,Recapture,PECA,NA,NA,NA,,,,,
723,June,2019-06-13,Mesic,1,Open,3,Released,PECA,Adult,M,Testicular,24.5,145,60,N,N
724,June,2019-06-13,Mesic,1,Open,3,Released,PECA,Juvenile,NA,NA,15.5,135,65,N,N
725,June,2019-06-13,Mesic,1,Total,3,Released,PECA,NA,NA,NA,NA,NA,NA,NA,NA
Sharpie,June,2019-06-13,Mesic,1,Total,3,Released,PECA,Juvenile,NA,NA,14.5,145,75,N,N
Sharpie,June,2019-06-13,Mesic,1,Total,3,Released,PECA,Juvenile,NA,NA,14.5,145,80,N,N
726,June,2019-06-13,Mesic,1,Total,3,Released,PECA,Adult,M,Testicular,23.5,170,80,N,N
729,June,2019-06-13,Mesic,1,Total,3,Released,PECA,Adult,F,Reproductive,24.5,170,80,N,N
706,June,2019-06-13,Mesic,1,Total,3,Recapture,PECA,NA,NA,NA,,,,N,N
710,June,2019-06-13,Mesic,1,Total,3,Deceased,PECA,NA,NA,NA,,,,,
728,June,2019-06-13,Mesic,1,Partial,3,Released,PECA,Adult,F,Reproductive,27.5,185,95,N,N
713,June,2019-06-13,Mesic,1,Partial,3,Recapture,PECA,NA,NA,NA,,,,,
719,June,2019-06-13,Mesic,1,Partial,3,Recapture,PECA,NA,NA,NA,,,,,
730,June,2019-06-13,Mesic,1,Partial,3,Released,PECA,Adult,F,Reproductive,NA,195,100,N,N
712,June,2019-06-13,Mesic,1,Partial,3,Recapture,PECA,NA,NA,NA,,,,,
733,June,2019-06-13,Mesic,1,Partial,3,Released,NEMA,Adult,F,Reproductive,50+,275,135,N,N
738,November,2019-11-01,Mesic,1,Total,1,Released,PEBO,Adult,F,NA,24.3,75,97,N,Y
734,November,2019-11-01,Mesic,1,Total,1,Released,PEBO,Adult,F,Pregnant,26.4,90,54,N,Y
735,November,2019-11-01,Mesic,1,Partial,1,Released,PEBO,Adult,F,NA,26.9,85,103,N,Y
736,November,2019-11-01,Mesic,1,Open,1,Released,PEBO,Adult,F,NA,23.3,83,89,N,Y
737,November,2019-11-01,Mesic,1,Open,1,Released,PEMA,Adult,F,Pregnant,28,76,70,N,Y
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Partial,1,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Total,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-01,Mesic,1,Total,1,Jammed,NA,NA,NA,NA,,,,,
739,November,2019-11-02,Mesic,1,Open,2,Deceased,PEBO,Adult,F,NA,26.3,76,93,N,Y
NA,November,2019-11-02,Mesic,1,Open,2,Released,PEMA,Adult,F,NA,23.6,,,,
740,November,2019-11-02,Mesic,1,Open,2,Released,PEBO,Adult,F,NA,22.6,75,100,N,Y
741,November,2019-11-02,Mesic,1,Total,2,Released,PEMA,Adult,F,NA,26.5,80,60,N,Y
734,November,2019-11-02,Mesic,1,Total,2,Recapture,NA,NA,NA,NA,,,,,
743,November,2019-11-02,Mesic,1,Partial,2,Released,PEMA,Adult,M,NA,21.1,78,75,N,Y
744,November,2019-11-02,Mesic,1,Partial,2,Released,PEBO,Adult,F,NA,21.5,72,96,N,Y
735,November,2019-11-02,Mesic,1,Partial,2,Recapture,NA,NA,NA,NA,,,,N,N
753,November,2019-11-02,Mesic,1,Open,2,Released,PEBO,Adult,M,NA,,,,N,N
754,November,2019-11-02,Mesic,1,Partial,2,Released,PEMA,Adult,M,NA,,,,N,N
757,November,2019-11-02,Mesic,1,Partial,2,Released,PEMA,Adult,F,NA,,,,N,N
NA,November,2019-11-02,Mesic,1,Partial,2,Released,NA,NA,NA,NA,,,,,
758,November,2019-11-02,Mesic,1,Partial,2,Released,PEBO,Adult,F,NA,,,,N,N
759,November,2019-11-02,Mesic,1,Open,2,Released,PEBO,Adult,F,NA,,,,N,N
760,November,2019-11-02,Mesic,1,Open,2,Released,PEBO,Adult,M,NA,,,,N,N
761,November,2019-11-02,Mesic,1,Partial,2,Released,PEBO,Adult,M,NA,,,,N,N
762,November,2019-11-02,Mesic,1,Total,2,Released,PEBO,Juvenile,F,NA,,,,N,N
763,November,2019-11-02,Mesic,1,Open,2,Released,PEMA,Adult,M,NA,,,,N,N
NA,November,2019-11-02,Mesic,1,Open,2,Released,PEMA,Juvenile,NA,NA,,,,N,N
765,November,2019-11-02,Mesic,1,Open,2,Released,PEMA,Adult,M,Testicular,,,,N,N
766,November,2019-11-02,Mesic,1,Total,2,Released,PEBO,Adult,F,NA,,,,N,N
NA,November,2019-11-02,Mesic,1,Open,2,Released,PEBO,NA,NA,NA,,,,,
768,November,2019-11-02,Mesic,1,Total,2,Released,PEBO,Adult,M,NA,,,,N,N
769,November,2019-11-02,Mesic,1,Total,2,Released,PEBO,Adult,M,NA,,,,N,N
770,November,2019-11-02,Mesic,1,Total,2,Released,PEBO,Adult,F,NA,,,,N,N
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Open,2,Closed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-02,Mesic,1,Total,2,Jammed,NA,NA,NA,NA,,,,,
736,November,2019-11-03,Mesic,1,Open,3,Recapture,NA,NA,NA,NA,,,,N,
772,November,2019-11-03,Mesic,1,Total,3,Released,PEBO,Adult,F,NA,,,,N,
774,November,2019-11-03,Mesic,1,Total,3,Released,PEBO,Adult,F,NA,,,,N,Y
773,November,2019-11-03,Mesic,1,Total,3,Released,PEBO,Adult,F,NA,,,,N,Y
775,November,2019-11-03,Mesic,1,Total,3,Released,PEBO,Adult,M,Testicular,,,,N,Y
777,November,2019-11-03,Mesic,1,Open,3,Released,PEBO,Adult,F,NA,,,,N,Y
778,November,2019-11-03,Mesic,1,Total,3,Released,PEBO,Adult,F,NA,,,,N,Y
740,November,2019-11-03,Mesic,1,Open,3,Released,NA,NA,NA,NA,,,,N,
779,November,2019-11-03,Mesic,1,Partial,3,Released,PEMA,Adult,F,NA,,,,N,Y
780,November,2019-11-03,Mesic,1,Partial,3,Released,PEBO,Juvenile,F,NA,,,,N,
781,November,2019-11-03,Mesic,1,Partial,3,Released,NA,Adult,M,NA,,,,N,Y
782,November,2019-11-03,Mesic,1,Partial,3,Released,PEMA,Adult,F,Pregnant,,,,N,Y
783,November,2019-11-03,Mesic,1,Partial,3,Released,PEBO,Adult,F,NA,,,,N,Y
784,November,2019-11-03,Mesic,1,Partial,3,Released,PEMA,Adult,F,NA,,,,N,Y
785,November,2019-11-03,Mesic,1,Partial,3,Released,NA,Adult,F,Pregnant,,,,N,Y
735,November,2019-11-03,Mesic,1,Partial,3,Released,NA,NA,NA,NA,,,,N,
786,November,2019-11-03,Mesic,1,Open,3,Released,PEBO,Adult,M,Testicular,,,,N,Y
787,November,2019-11-03,Mesic,1,Partial,3,Released,PEBO,Adult,M,NA,,,,N,Y
788,November,2019-11-03,Mesic,1,Partial,3,Released,PEBO,Adult,M,Testicular,,,,N,Y
789,November,2019-11-03,Mesic,1,Partial,3,Released,TAOB,NA,NA,NA,,,,N,
NA,November,2019-11-03,Mesic,1,Partial,3,Jammed,NA,NA,NA,NA,,,,,
790,November,2019-11-07,Arid,2,Partial,1,Released,PEMA,Adult,M,NA,24.2,82,96,N,Y
791,November,2019-11-07,Arid,2,Partial,1,Released,PEMA,Adult,M,Testicular,24.4,84,97,N,Y
792,November,2019-11-07,Arid,2,Partial,1,Released,PEMA,Adult,M,NA,24.3,80,97,N,Y
NA,November,2019-11-07,Arid,2,Partial,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-07,Arid,2,Total,1,Jammed,NA,NA,NA,NA,,,,,
NA,November,2019-11-07,Arid,2,Total,1,Closed,NA,NA,NA,NA,,,,,
793,November,2019-11-08,Arid,2,Partial,2,Released,MICA,Adult,F,NA,31.5,,46,N,Y
794,November,2019-11-08,Arid,2,Partial,2,Released,PEMA,Adult,F,Lactating,23.7,87,101,N,Y
791,November,2019-11-08,Arid,2,Total,2,Recapture,NA,NA,NA,NA,,,,N,
