year,month,site,block,plot,day1,day2,day3,tag
2018,NA,Arid,1,Total,1,1,0,17
2018,NA,Arid,1,Total,1,0,0,94
2018,NA,Arid,1,Total,0,1,0,18
2018,NA,Arid,1,Total,0,0,1,65
2018,NA,Arid,1,Total,0,0,1,83
2018,NA,Arid,1,Total,0,0,1,60
2018,NA,Arid,1,Partial,1,0,0,19
2018,NA,Arid,1,Partial,1,0,0,59
2018,NA,Arid,1,Partial,0,1,1,45
2018,NA,Arid,1,Partial,0,1,0,23
2018,NA,Arid,1,Partial,0,0,1,22
2018,NA,Arid,1,Partial,0,0,1,90
2018,NA,Arid,1,Open,0,1,0,66
2018,NA,Arid,2,Total,1,0,0,24
2018,NA,Arid,2,Total,1,1,0,27
2018,NA,Arid,2,Total,0,1,0,28
2018,NA,Arid,2,Total,0,0,1,NA
2018,NA,Arid,2,Total,1,0,1,98
2018,NA,Arid,2,Total,0,1,0,79
2018,NA,Arid,2,Total,0,1,0,84
2018,NA,Arid,2,Total,0,1,0,92
2018,NA,Arid,2,Total,0,0,1,26
2018,NA,Arid,2,Partial,1,0,0,72
2018,NA,Arid,2,Partial,1,0,0,76
2018,NA,Arid,2,Partial,1,0,0,49
2018,NA,Arid,2,Partial,1,1,0,44
2018,NA,Arid,2,Partial,0,1,0,97
2018,NA,Arid,2,Partial,0,1,1,68
2018,NA,Arid,2,Partial,0,0,1,55
2018,NA,Arid,2,Partial,0,0,1,61
2018,NA,Arid,2,Partial,0,0,1,51
2018,NA,Arid,2,Partial,0,0,1,91
2018,NA,Arid,2,Open,1,0,1,94
2018,NA,Arid,2,Open,0,1,0,12
2018,NA,Arid,2,Open,0,1,0,99
2018,NA,Arid,3,Total,1,0,0,69
2018,NA,Arid,3,Total,1,0,0,4
2018,NA,Arid,3,Total,0,1,0,88
2018,NA,Arid,3,Total,0,1,1,93
2018,NA,Arid,3,Total,0,1,0,36
2018,NA,Arid,3,Total,0,0,1,101
2018,NA,Arid,3,Partial,1,0,0,102
2018,NA,Arid,3,Partial,0,1,0,85
2018,NA,Arid,3,Partial,0,1,0,40
2018,NA,Arid,3,Partial,0,1,0,5
2018,NA,Arid,3,Partial,0,0,1,32
2018,NA,Arid,3,Partial,0,0,1,81
2018,NA,Arid,3,Open,1,0,0,103
2018,NA,Arid,3,Open,0,1,1,19
2018,NA,Intermediate,1,Total,1,0,1,50
2018,NA,Intermediate,1,Total,1,1,1,106
2018,NA,Intermediate,1,Total,0,1,0,105
2018,NA,Intermediate,1,Total,0,1,0,104
2018,NA,Intermediate,1,Total,0,1,0,107
2018,NA,Intermediate,1,Total,0,1,0,108
2018,NA,Intermediate,1,Total,0,1,0,109
2018,NA,Intermediate,1,Total,0,0,1,86
2018,NA,Intermediate,1,Total,0,0,1,112
2018,NA,Intermediate,1,Total,0,0,1,111
2018,NA,Intermediate,1,Partial,1,0,0,53
2018,NA,Intermediate,1,Partial,1,0,0,110
2018,NA,Intermediate,1,Partial,0,1,1,9
2018,NA,Intermediate,1,Partial,0,1,0,96
2018,NA,Intermediate,2,Total,1,0,0,37
2018,NA,Intermediate,2,Total,0,1,0,82
2018,NA,Intermediate,2,Total,0,1,0,114
2018,NA,Intermediate,2,Total,0,0,1,117
2018,NA,Intermediate,2,Total,0,0,1,116
2018,NA,Intermediate,2,Total,0,0,1,115
2018,NA,Intermediate,2,Partial,0,1,0,118
2018,NA,Intermediate,2,Open,1,0,1,119
2018,NA,Intermediate,2,Open,1,0,1,120
2018,NA,Intermediate,2,Open,0,1,0,121
2018,NA,Intermediate,2,Open,0,1,0,80
2018,NA,Intermediate,3,Total,0,1,1,201
2018,NA,Intermediate,3,Total,0,0,1,123
2018,NA,Intermediate,3,Partial,1,0,1,124
2018,NA,Intermediate,3,Partial,0,1,1,125
2018,NA,Intermediate,3,Partial,0,1,0,126
2018,NA,Intermediate,3,Partial,0,0,1,127
2018,NA,Intermediate,3,Partial,0,0,1,129
2018,NA,Intermediate,3,Open,0,1,0,128
2018,NA,Intermediate,3,Open,0,0,1,130
2018,NA,Mesic,1,Total,1,0,0,150
2018,NA,Mesic,1,Total,0,1,1,159
2018,NA,Mesic,1,Total,0,1,0,160
2018,NA,Mesic,1,Partial,1,0,0,151
2018,NA,Mesic,1,Partial,0,1,0,161
2018,NA,Mesic,1,Partial,0,0,1,169
2018,NA,Mesic,1,Open,1,0,1,152
2018,NA,Mesic,1,Open,0,1,0,162
2018,NA,Mesic,2,Total,1,0,1,153
2018,NA,Mesic,2,Total,0,1,0,163
2018,NA,Mesic,2,Total,0,1,1,164
2018,NA,Mesic,2,Total,1,0,1,154
2018,NA,Mesic,2,Total,1,0,0,155
2018,NA,Mesic,2,Total,0,1,0,165
2018,NA,Mesic,2,Partial,1,0,0,156
2018,NA,Mesic,2,Partial,1,0,0,157
2018,NA,Mesic,2,Partial,0,1,1,166
2018,NA,Mesic,2,Partial,0,1,0,167
2018,NA,Mesic,2,Partial,0,0,1,172
2018,NA,Mesic,2,Partial,0,0,1,173
2018,NA,Mesic,2,Open,1,0,1,158
2018,NA,Mesic,2,Open,0,1,1,168
2018,NA,Mesic,3,Total,1,0,0,210
2018,NA,Mesic,3,Total,1,0,1,211
2018,NA,Mesic,3,Total,1,0,0,212
2018,NA,Mesic,3,Total,0,1,0,222
2018,NA,Mesic,3,Total,0,1,0,223
2018,NA,Mesic,3,Total,0,0,1,230
2018,NA,Mesic,3,Total,1,0,0,213
2018,NA,Mesic,3,Total,1,0,1,214
2018,NA,Mesic,3,Total,0,1,1,224
2018,NA,Mesic,3,Total,0,1,0,225
2018,NA,Mesic,3,Partial,0,1,0,NA
2018,NA,Mesic,3,Partial,1,0,0,215
2018,NA,Mesic,3,Partial,0,1,0,226
2018,NA,Mesic,3,Partial,0,1,0,227
2018,NA,Mesic,3,Partial,0,0,1,231
2018,NA,Mesic,3,Partial,1,0,0,216
2018,NA,Mesic,3,Partial,0,1,0,228
2018,NA,Mesic,3,Partial,0,1,0,229
2018,NA,Mesic,3,Partial,0,0,1,232
2018,NA,Mesic,3,Open,1,1,0,217
2018,NA,Mesic,3,Open,1,0,0,218
2018,NA,Mesic,3,Open,1,0,0,220
2018,NA,Mesic,3,Open,1,1,0,219
2018,NA,Mesic,3,Open,0,1,1,234
2018,NA,Mesic,3,Open,0,1,0,235
2018,NA,Mesic,3,Open,0,0,1,236
2018,NA,Mesic,3,Open,0,0,1,237
2019,May,Arid,2,NA,1,0,0,751
2019,May,Arid,2,Open,1,1,0,752
2019,May,Arid,2,NA,0,1,0,750
2019,May,Arid,2,Partial,0,1,1,755
2019,May,Arid,2,NA,0,1,0,NA
2019,May,Arid,2,Total,0,1,0,756
2019,May,Arid,2,Partial,0,0,1,748
2019,May,Arid,2,Partial,0,0,1,749
2019,May,Arid,2,Partial,0,0,1,746
2019,May,Arid,2,Total,0,0,1,747
2019,May,Arid,2,Total,0,0,1,745
2019,June,Mesic,1,Open,1,0,1,705
2019,June,Mesic,1,Open,0,1,0,715
2019,June,Mesic,1,Open,0,1,0,716
2019,June,Mesic,1,Open,0,1,0,NA
2019,June,Mesic,1,Open,0,0,1,721
2019,June,Mesic,1,Open,0,0,1,722
2019,June,Mesic,1,Open,0,0,1,723
2019,June,Mesic,1,Open,0,0,1,724
2019,June,Mesic,1,Partial,1,1,1,712
2019,June,Mesic,1,Partial,1,1,1,713
2019,June,Mesic,1,Partial,1,0,0,714
2019,June,Mesic,1,Partial,0,1,0,718
2019,June,Mesic,1,Partial,0,1,1,719
2019,June,Mesic,1,Partial,0,1,0,720
2019,June,Mesic,1,Partial,0,0,1,728
2019,June,Mesic,1,Partial,0,0,1,730
2019,June,Mesic,1,Partial,0,0,1,733
2019,June,Mesic,1,Total,1,0,0,707
2019,June,Mesic,1,Total,1,0,1,706
2019,June,Mesic,1,Total,1,0,0,708
2019,June,Mesic,1,Total,1,1,0,709
2019,June,Mesic,1,Total,1,1,1,NA1
2019,June,Mesic,1,Total,1,1,1,710
2019,June,Mesic,1,Total,1,1,0,711
2019,June,Mesic,1,Total,1,1,1,NA2
2019,June,Mesic,1,Total,0,1,0,705
2019,June,Mesic,1,Total,0,1,0,NA
2019,June,Mesic,1,Total,0,1,0,NA
2019,June,Mesic,1,Total,0,1,0,717
2019,June,Mesic,1,Total,0,0,1,726
2019,June,Mesic,1,Total,0,0,1,729
2019,November,Arid,2,Partial,1,0,1,790
2019,November,Arid,2,Partial,1,0,0,791
2019,November,Arid,2,Partial,1,0,1,792
2019,November,Arid,2,Partial,0,1,0,793
2019,November,Arid,2,Partial,0,1,0,794
2019,November,Arid,2,Partial,0,0,1,795
2019,November,Arid,2,Partial,0,0,1,796
2019,November,Arid,2,Partial,0,0,1,797
2019,November,Arid,2,Total,0,1,0,791
2019,November,Arid,2,Total,0,0,1,798
2019,November,Mesic,1,Open,1,0,1,736
2019,November,Mesic,1,Open,1,0,0,737
2019,November,Mesic,1,Open,0,1,0,739
2019,November,Mesic,1,Open,0,1,0,NA
2019,November,Mesic,1,Open,0,1,1,740
2019,November,Mesic,1,Open,0,1,0,753
2019,November,Mesic,1,Open,0,1,0,759
2019,November,Mesic,1,Open,0,1,0,760
2019,November,Mesic,1,Open,0,1,0,763
2019,November,Mesic,1,Open,0,1,0,NA
2019,November,Mesic,1,Open,0,1,0,765
2019,November,Mesic,1,Open,0,1,0,NA
2019,November,Mesic,1,Open,0,0,1,777
2019,November,Mesic,1,Open,0,0,1,786
2019,November,Mesic,1,Partial,1,1,1,735
2019,November,Mesic,1,Partial,0,1,0,743
2019,November,Mesic,1,Partial,0,1,0,744
2019,November,Mesic,1,Partial,0,1,0,754
2019,November,Mesic,1,Partial,0,1,0,757
2019,November,Mesic,1,Partial,0,1,0,NA
2019,November,Mesic,1,Partial,0,1,0,758
2019,November,Mesic,1,Partial,0,1,0,761
2019,November,Mesic,1,Partial,0,0,1,779
2019,November,Mesic,1,Partial,0,0,1,780
2019,November,Mesic,1,Partial,0,0,1,781
2019,November,Mesic,1,Partial,0,0,1,782
2019,November,Mesic,1,Partial,0,0,1,783
2019,November,Mesic,1,Partial,0,0,1,784
2019,November,Mesic,1,Partial,0,0,1,785
2019,November,Mesic,1,Partial,0,0,1,787
2019,November,Mesic,1,Partial,0,0,1,788
2019,November,Mesic,1,Partial,0,0,1,789
2019,November,Mesic,1,Total,1,0,0,738
2019,November,Mesic,1,Total,1,1,0,734
2019,November,Mesic,1,Total,0,1,0,741
2019,November,Mesic,1,Total,0,1,0,762
2019,November,Mesic,1,Total,0,1,0,766
2019,November,Mesic,1,Total,0,1,0,768
2019,November,Mesic,1,Total,0,1,0,769
2019,November,Mesic,1,Total,0,1,0,770
2019,November,Mesic,1,Total,0,0,1,772
2019,November,Mesic,1,Total,0,0,1,774
2019,November,Mesic,1,Total,0,0,1,773
2019,November,Mesic,1,Total,0,0,1,775
2019,November,Mesic,1,Total,0,0,1,778